nombre,symbol,categoria,valor_usd,market_cap,ranking,volumen_24h,volumen/marketcap,circulating_supply,total_supply,max_supply,multichain,exchanges,pagina_web,contrato
Chainlink,LINK,real-world-assets-rwa,13.976637474418181,9184048071.469498,12,191982620.55161285,0.020903921566788424,657099970.4527867,1000000000,,True,2002,,0x514910771af9ca656af840dff83e8264ecf986ca
Stellar,XLM,real-world-assets-rwa,0.267986386562025,8287762054.022689,15,128056152.84505267,0.015451234242770902,30926056208.845894,50001786892.81785,50001806812,False,704,,
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,real-world-assets-rwa,,,,0,,0,30000000,,True,6,,0x7b123f53421b1bf8533339bfbdc7c98aa94163db
Ondo,ONDO,real-world-assets-rwa,0.8705532570916024,2750171348.8735538,34,91972759.47253636,0.03344255604662873,3159107529,10000000000,,True,307,,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3
Algorand,ALGO,real-world-assets-rwa,0.20124854568853928,1729172288.1359415,48,45356276.91894142,0.02623005077639532,8592222528.71373,10000000000,10000000000,False,498,,
Quant,QNT,real-world-assets-rwa,89.5690655436753,1081343861.2136195,68,26578837.35116541,0.02457944998303806,12072738,14881364,14881364,True,307,,0x4a220e6096b25eadb88358cb44068a3248254675
Maker,MKR,real-world-assets-rwa,1538.755092407176,1283623368.186412,59,33630708.88446515,0.026199825990999865,834196.01632535,857909.06363199,1000000,True,562,,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
XDC Network,XDC,real-world-assets-rwa,0.07303867790742571,1147168898.8093314,64,27008234.54707194,0.023543381079372275,15706320701.25,37989855737.25,,False,140,,
Injective,INJ,real-world-assets-rwa,9.348906028515252,934618880.7308578,74,61838003.5055128,0.0661638714779188,99970935.41,100000000,,True,477,,0xe28b3b32b6c345a34ff64674606124dd5aceca30
PAX Gold,PAXG,real-world-assets-rwa,3263.0780271211183,777015857.531276,82,26641852.85203608,0.03428739914868946,238123.591,238123.591,,True,248,,0x45804880de22913dafe09f4980848ece6ecbaf78
Reserve Rights,RSR,real-world-assets-rwa,0.008644250965249513,492007915.1612133,113,14559958.93754338,0.02959293639162818,56917356650,100000000000,100000000000,True,277,,0x320623b8e4ff03373931769a31fc52a4e78b5d70
OUSG,OUSG,real-world-assets-rwa,,,,0,,4160508.07824077,4160508.07824077,,True,1,,0x1b19c19393e2d034d8ff31ff34c81252fcbbee92
Hashnote USYC,USYC,real-world-assets-rwa,,,,,,0,0,,True,,,0x136471a34f6ef19fE571EFFC1CA711fdb8E49f2b
MANTRA,OM,real-world-assets-rwa,0.39390364325903277,377776442.64593196,128,103272242.03536001,0.2733686656373942,959058005.9639218,1669115465.4625118,,True,295,,0x3593d125a4f7849a1b059e64f4517a86dd60c95d
Plume,PLUME,real-world-assets-rwa,0.17919833829318602,358396676.586372,213,21728630.22565477,0.06062732063425891,2000000000,10000000000,,True,99,,0x4C1746A800D224393fE2470C70A35717eD4eA5F1
Creditcoin,CTC,real-world-assets-rwa,0.673165031188743,302531171.3344668,150,10117427.47259825,0.0334425951149768,449416053,549564264,600000000,False,80,,
OriginTrail,TRAC,real-world-assets-rwa,0.39077799800787894,195211959.22108033,192,2132885.074547,0.010925995943370855,499546955.602,500000000,,True,73,,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f
Maple Finance,SYRUP,real-world-assets-rwa,0.17500883484235705,185886607.71442702,225,4731488.15614312,0.025453625811559202,1062155564.2140487,1154930098,,True,41,,0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66
CHEX Token,CHEX,real-world-assets-rwa,0.18331550432713048,183117889.21429986,226,1236917.23470091,0.006754759133627661,998921994.5494736,998921994.549476,,True,74,,0x9Ce84F6A69986a83d92C324df10bC8E64771030f
Zebec Network,ZBCN,real-world-assets-rwa,0.0021361064547404775,163133249.74606466,245,28731462.86324837,0.17612266602898022,76369438135.46233,99999401826.30232,100000000000,True,64,,ZBCNpuD7YMXzTHB2fhGkGi78MNsHGLRXUhRewNRm9RU
Polymesh,POLYX,real-world-assets-rwa,0.14306718763405582,136698767.8791,274,2279314.00366408,0.01667399084152657,955486510.497115,1157990356.224509,,False,99,,
Ravencoin,RVN,real-world-assets-rwa,0.010554886246822348,159487356.5079755,252,10223310.76486479,0.06410107351897548,15110286627.294605,15110286627.294605,21000000000,False,177,,
OpenEden OpenDollar,USDO,real-world-assets-rwa,1.0107236580900845,150830330.71176106,259,1129.46854523,7.4883383196210765e-06,149230038.79891148,149230038.79891148,,True,1,,0x8238884ec9668ef77b90c6dff4d1a9f4f4823bfe
Kinesis Gold,KAU,real-world-assets-rwa,103.51905198775577,0,5285,3255.04470127,,0,1458480.58,1458480.58,False,18,,
STASIS EURO,EURS,real-world-assets-rwa,1.1165946032215683,138598354.7238042,272,121.0641373,8.734889930061146e-07,124125940,124125940,,True,58,,0xdb25f211ab05b1c97d595516f45794528a807ad8
Compounding OpenDollar,CUSDO,real-world-assets-rwa,1.0242915559354768,139671543.90629447,9647,2125144.45294326,0.015215300078368273,136359167.56019104,136359167.56019104,,True,3,,0xaD55aebc9b8c03FC43cd9f62260391c13c23e7c0
LCX,LCX,real-world-assets-rwa,0.14290987449697976,134683914.52456295,278,1334717.35712926,0.009909998249166134,942439527,950000000,950000000,True,94,,0x037a54aab062628c9bbae1fdb1583c195585fe41
Kinesis Silver,KAG,real-world-assets-rwa,32.115773721399975,0,4972,13308.65940075,,0,100000000000,,False,20,,
APF coin,APFC,real-world-assets-rwa,0.6736427823454967,0,3242,2532763.45833839,,0,250000000,250000000,True,19,,0x8eD955a2b7d2C3a17a9d05dACa95E01818f8C11e
Usual,USUAL,real-world-assets-rwa,0.12175086023648568,103681486.50291635,326,24049627.74200035,0.2319568184559534,851587301.3260698,948087386.5934851,4000000000,True,125,,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E
Clearpool,CPOOL,real-world-assets-rwa,0.13284064177040011,102300031.34945084,331,2474299.24048709,0.024186690931061697,770095883.2031598,1000000000,1000000000,True,74,,0x66761fa41377003622aee3c7675fc7b5c1c2fac5
Velo,VELO,real-world-assets-rwa,0.012302944308394731,90924609.65783541,357,8722196.86714649,0.09592779006662314,7390475595,23999998948,24000000000,True,109,,0xf486ad071f3bee968384d2e39e2d8af0fcf6fd46
Goldfinch,GFI,real-world-assets-rwa,0.8552509090298298,68041079.67707886,436,910573.83650554,0.013382707047376364,79556863.32360938,114285714,114285714,True,42,,0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b
Centrifuge,CFG,real-world-assets-rwa,0.14000693978480813,72615570.1275112,416,477545.46091791,0.006576350775451485,518656934,564136637,,False,39,,
DIA,DIA,real-world-assets-rwa,0.5223708461093636,62515307.70555219,458,3379935.53447876,0.054065726596088985,119676104,168817248,200000000,True,139,,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419
TrueFi,TRU,real-world-assets-rwa,0.037855240759778364,48661468.36233109,522,3619722.63770706,0.07438580789948156,1285461864.3459923,1300311872.2046723,1450000000,True,143,,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784
Keeta,KTA,real-world-assets-rwa,0.114072606785599,0,3467,469680.12770337,,0,1000000000,1000000000,True,31,,0xc0634090F2Fe6c6d75e61Be2b949464aBB498973
TokenFi,TOKEN,real-world-assets-rwa,0.018235116804070476,18235477.65879691,850,4567012.41420255,0.25044654709109826,1000019789,10000000000,10000000000,True,163,,0x4507cEf57C46789eF8d1a19EA45f4216bae2B528
Propy,PRO,real-world-assets-rwa,0.7583275234066469,75832752.34066468,400,5197251.81495425,0.06853571385100929,100000000,100000000,,True,60,,0x226bb599a12c826476e3a771454697ea52e9e220
Energy Web,EWT,real-world-assets-rwa,0.687171183951315,20657834.96156782,817,109137.15459952,0.0052830877389891335,30062138,82268139.5181099,100000000,False,30,,
DUSK,DUSK,real-world-assets-rwa,0.07646385489577355,37008505.717277974,609,3858980.03226966,0.10427278695740579,483999999.31632507,500000000,1000000000,True,161,,0x940a2db1b7008b6c776d4faaca729d6d4a4aa551
Hifi Finance,HIFI,real-world-assets-rwa,0.25101564748522553,35597173.23684197,617,25917549.29086098,0.7280788594763228,141812566.6406401,166812566.6406401,,True,109,,0x4b9278b94a1112cAD404048903b8d343a810B07e
RealToken Ecosystem Governance,REG,real-world-assets-rwa,,,,0,,0,0,10000000000,True,1,,0xbaC75dcd76A64bA7De878Ecd3aA8aAd235322085
IXS,IXS,real-world-assets-rwa,0.1853402663852045,33361247.949336812,641,28491.29468664,0.0008540236483331668,180000000,180000000,180000000,True,43,,0x73d7c860998ca3c01ce8c808f5577d94d545d1b4
Parcl,PRCL,real-world-assets-rwa,0.09479540964776088,39082673.99271966,587,13773888.83244665,0.35242954038949476,412284457,1000000000,1000000000,True,97,,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs
ELYSIA,EL,real-world-assets-rwa,0.004639791081476466,21389292.6075084,805,340511.40372655,0.015919713193648044,4609968904.182198,6803300704.688,,True,20,,0x2781246fe707bb15cee3e5ea354e2154a2877b16
